;R1;FH2;FCH4;models;model
0;-4.546026987634082;4.953806033032612;9.499833020666696;uninhabitable;0
1;1.0654764830489494;9.6443344052898;8.578857922240852;habitable;1
2;1.9410169370374852;9.45592277266682;7.514905835629334;inhabited;2
3;1.837495012235868;9.496232006176994;7.658736993941127;inhabited;2
4;2.242288719790856;6.7774241838429345;4.535135464052078;uninhabitable;0
5;-2.0799927362225663;5.2266484315977095;7.306641167820276;uninhabitable;0
6;1.1274463779925412;7.31976121942818;6.192314841435639;uninhabitable;0
7;-3.507275015328159;6.47533180469111;9.982606820019269;uninhabitable;0
8;0.8475456123092773;4.980205259103307;4.132659646794029;uninhabitable;0
9;-3.0579153503471947;5.55255288897386;8.610468239321055;uninhabitable;0
10;0.0776409304417037;9.671732162124647;9.594091231682944;uninhabitable;0
11;1.256877018513492;6.899833355778281;5.642956337264788;uninhabitable;0
12;1.3111112912593077;7.026475940470907;5.715364649211599;uninhabitable;0
13;-0.20757184399845718;6.201855486444508;6.4094273304429645;uninhabitable;0
14;0.8489338731346788;8.457267326993916;7.608333453859238;uninhabitable;0
15;-0.4211302755208549;6.43141277065759;6.852543046178446;uninhabitable;0
16;0.9235248486813844;9.336791978052197;8.413267129370812;habitable;1
17;-0.6790815468219503;10.028039468987672;10.707121015809621;uninhabitable;0
18;1.7330688721371514;8.855428224931206;7.122359352794054;inhabited;2
19;0.34498073842584953;8.398423752869169;8.05344301444332;uninhabitable;0
20;1.265292349305468;8.998191557409871;7.732899208104405;inhabited;2
21;0.4052597798324667;7.076623259306096;6.67136347947363;uninhabitable;0
22;0.7185931519247027;5.241858867284965;4.523265715360262;uninhabitable;0
23;-1.9173468861596141;4.173634067886094;6.090980954045708;uninhabitable;0
24;2.243584735894827;6.488766421054022;4.245181685159195;uninhabitable;0
25;-0.36779189818210106;5.858278343372985;6.226070241555086;uninhabitable;0
26;1.4541516851338232;6.423278077478097;4.969126392344274;uninhabitable;0
27;-0.4272339075861626;9.089333915581035;9.516567823167197;inhabited;2
28;1.032763284515074;8.764556477736368;7.731793193221295;inhabited;2
29;3.105089389520353;9.301329531702578;6.196240142182225;uninhabitable;0
30;-1.823714883958185;5.823856221021256;7.64757110497944;uninhabitable;0
31;0.2548915177334853;9.396616448270327;9.141724930536842;inhabited;2
32;-3.313339060871242;6.579600481396791;9.892939542268033;uninhabitable;0
33;1.012355477325799;9.471374205946615;8.459018728620816;inhabited;2
34;1.1580232549850602;9.565459192714165;8.407435937729105;habitable;1
35;-0.07544760558817509;6.8351864792948955;6.91063408488307;uninhabitable;0
36;0.8939982394146058;8.396988471039313;7.502990231624707;uninhabitable;0
37;2.42660706992679;8.598639880218625;6.172032810291835;inhabited;2
38;0.5956388808228505;6.981200916515004;6.385562035692153;uninhabitable;0
39;-3.4470252142665547;5.78756570610573;9.234590920372284;uninhabitable;0
40;1.922488079039017;8.98101642731702;7.058528348278002;inhabited;2
41;-5.50641680274925;4.67878108371971;10.18519788646896;uninhabitable;0
42;-4.13592773083062;3.977191266777811;8.11311899760843;uninhabitable;0
43;1.799483568718009;8.41285999669133;6.61337642797332;inhabited;2
44;-4.047691640880521;6.334506117828045;10.382197758708566;uninhabitable;0
45;-1.952321267339685;4.716801191705439;6.669122459045124;uninhabitable;0
46;1.7087032362283536;8.893009670581673;7.184306434353319;inhabited;2
47;2.03841531965347;8.44102584943656;6.40261052978309;inhabited;2
48;-1.819616060261465;7.168747743810605;8.98836380407207;uninhabitable;0
49;2.511371511460564;8.053224917251592;5.541853405791028;inhabited;2
50;1.2210331164166426;7.197554108649969;5.9765209922333264;uninhabitable;0
51;-3.251995320029375;5.462052597285901;8.714047917315275;uninhabitable;0
52;-0.4477498247573996;9.348057061445235;9.795806886202636;inhabited;2
53;1.0867213360515564;6.358908952310917;5.27218761625936;uninhabitable;0
54;3.126035764348271;7.974327610888504;4.848291846540233;inhabited;2
55;0.09445973968172143;8.651544442797684;8.557084703115963;uninhabitable;0
56;3.2274111394817364;8.152590401808697;4.925179262326959;inhabited;2
57;1.7560118482916203;6.141836696896487;4.385824848604867;uninhabitable;0
58;-2.1474243498850822;5.3891479698298115;7.536572319714893;uninhabitable;0
59;-4.523656746203914;4.872269960988672;9.395926707192585;uninhabitable;0
60;2.4510933598021514;9.164344504047529;6.713251144245377;inhabited;2
61;-1.4416953105585233;5.438721461367018;6.880416771925542;uninhabitable;0
62;-4.091073753699819;5.534745791844269;9.625819545544088;uninhabitable;0
63;-0.5817933651089675;6.29808931554211;6.879882680651077;uninhabitable;0
64;-1.148142780697467;6.05144872809936;7.199591508796827;uninhabitable;0
65;0.887928770839072;6.304352387442118;5.416423616603047;uninhabitable;0
66;1.019865486508616;5.726547477191317;4.706681990682701;uninhabitable;0
67;0.9809784337369727;5.7777741252296275;4.796795691492655;uninhabitable;0
68;-3.429743029306352;5.394006810229064;8.823749839535417;uninhabitable;0
69;1.521659888656647;10.019071692921418;8.497411804264772;inhabited;2
70;-0.3711912837496393;8.36971860866146;8.740909892411098;uninhabitable;0
71;-0.9664088564928476;9.16556057738832;10.131969433881167;habitable;1
72;0.651551350515681;6.527770255238384;5.876218904722703;uninhabitable;0
73;4.76155905166089;9.932020652327052;5.170461600666163;habitable;1
74;-4.032145610029284;6.604131010185401;10.636276620214685;uninhabitable;0
75;-3.943585857395887;5.238347521250427;9.181933378646313;uninhabitable;0
76;0.0765200790904948;5.543320614626113;5.466800535535619;uninhabitable;0
77;1.21644217776273;6.273954068017496;5.057511890254766;uninhabitable;0
