;ranks;R1;R2;Qp;model
0;0;0.0072252748107526;3.0996706503007816e-06;63.23972058157846;0
1;1;0.9878162596845887;8.901765248340154e-06;15.398676819545207;0
2;2;0.06743753746304891;4.0951323955564476e-05;71.68174208963035;0
4;4;0.004893087353232673;3.6253810065499735e-07;319.9730289509277;0
5;5;50.1012907474453;0.0015631755417605763;0.37854629211062024;0
6;6;0.6870494086490032;2.9680363322221656e-06;10.713433957341584;0
9;9;0.018911985533520217;5.524825919759795e-05;59.960006709558954;0
10;10;0.06406601281354948;3.5286957059716526e-05;84.9977066720385;0
12;12;0.13563923621932245;5.6721245410544035e-06;85.22376847027168;0
14;14;12.438594680809265;1.2973259944659474e-05;2.2186261996192598;0
15;15;6.531643338497061;1.9700265494322705e-05;4.16511330331058;0
16;16;6.387723107373006;0.0025619892181889714;0.29248378130854247;0
18;18;1.9603619263281746;6.513485572453537e-06;10.278674932268963;0
19;19;34.614636527447836;2.751173584893199e-05;5.119815807475264;0
20;20;31.026913891388322;0.0011599664620514322;0.14278320761965288;0
21;21;0.47752454263027433;2.0905217766368256e-05;10.116185536367857;0
22;22;8.225409050025373;0.009302903358534597;0.046534395770916996;0
24;24;11.872397172323007;0.006923332944555783;0.027527761618169246;0
25;25;141.25026671023326;0.0011791153944264126;0.16443000212030562;0
27;27;0.2961352384781953;0.0014723820200169089;0.5916700834819594;0
28;28;30.976936785010075;0.0001892094269452487;5.341898929815868;0
29;29;1.6484621738356495;1.0275279116724417e-05;43.72413210733351;0
30;30;0.13564058427399867;8.714906915152614e-06;83.893485317662;0
31;31;271.1624028025368;0.009651920744836036;0.030940069330753734;0
33;33;0.15764298563129528;1.5575670116639135e-06;219.78502080545454;0
34;34;2.5546749688044077;0.00032002058285782517;8.496336888821396;0
37;37;0.24547020983523024;0.00021219476237464534;4.965858104277684;0
39;39;0.5102184003258196;9.958631293124612e-05;29.59536507322237;0
40;40;1.6540049651333173;4.7471625643405586e-05;26.795703852105444;0
41;41;153.03442749262558;0.00020322451980430423;0.19555535404639732;0
42;42;0.04536519247393323;8.220862922436173e-06;76.11685964608202;0
43;43;9.724117952574856;0.0011445597251397738;0.10819263494947934;0
45;45;0.1555422153073802;2.769526643730957e-07;33.82920961819769;0
47;47;0.7018116846141886;7.932093703724694e-05;0.5589401829649123;0
49;49;0.0582139127017776;3.106234065207911e-05;32.72511344974368;0
50;50;7.312417798394752;3.680249792836884e-05;1.3780480422671888;0
51;51;13.961497409823766;0.00986982022032878;0.04116948481303231;0
53;53;0.06243106001733167;3.0537889633132224e-06;22.73110928282659;0
54;54;42.96413209344273;0.003340931942961358;0.12425523973002303;0
