;ranks;R1;R2;Qp;model
0;0;2.8442843543607117e-05;3.695970686473477e-06;210.59082711817152;0
4;4;174.69831646598576;0.0028229384652160615;0.3337994340489215;0
5;5;0.008317776828553832;3.90454954039297e-05;48.9834188350114;0
6;6;13.41054346228733;0.013903324143712687;0.2709963584525269;0
7;7;0.00031097464783443464;0.0005326954605777127;12.075727523662588;0
8;8;7.039561579107997;3.2577696534371337e-06;8.608847965322068;0
9;9;0.0008751543375869819;2.6052859999927257e-05;36.702564197723326;0
10;10;1.1957514892632921;0.32828482286819954;0.00486101446559433;0
11;11;18.066624513180336;0.0016208966705990092;0.3865385641530974;0
12;12;20.46969120903548;0.0006372833726345792;0.221633798897141;0
13;13;0.6200520618663721;5.981740641880449e-05;1.963590743768943;0
14;14;7.062100166080375;0.03897953915839439;0.029992660165533924;0
15;15;0.37920121874259605;0.0004659734630637581;2.186586695641244;0
17;17;0.20937192844170976;0.2824967922781828;0.003186331117396393;0
19;19;2.2129965579036424;0.00175594107983428;0.0211477980391132;0
21;21;2.5424930815915827;0.0017369873864111196;0.4273833204146831;0
22;22;5.231101561692856;1.1309309833511914e-05;6.928807205744563;0
23;23;0.012096315726355823;1.4814253845732445e-06;222.42275006316223;0
24;24;175.22042762531635;0.00022516515180015306;0.3445635205197045;0
25;25;0.4287539181171488;2.8400622457550485e-05;3.94283136567065;0
26;26;28.45454760000489;0.0021488047077278228;1.1092765825212827;0
29;29;1273.7652292837386;0.015004171677841974;0.0009231190938432724;0
30;30;0.015006697077680138;0.00016072786155262836;15.219553042023648;0
32;32;0.0004860276077549638;0.0030968841949119957;13.19083026916094;0
35;35;0.8405284045084472;0.0004036457214149994;0.6823105985750707;0
36;36;7.83426466829035;0.049032363562475076;0.03555816027762386;0
38;38;3.941294441443533;0.0006239447491771067;0.369387762702924;0
39;39;0.00035725209620965164;0.0001749291612406585;43.02419545444029;0
41;41;3.115897747437485e-06;5.930801348806863e-06;776.082817623354;0
42;42;7.312607594729967e-05;1.8667948779755816e-06;1328.530175000064;0
44;44;8.960007209714331e-05;1.2850848616930093e-05;8.983722971277167;0
45;45;0.011160373588562778;3.0186523539930774e-06;77.63168399962245;0
48;48;0.015148999098261041;0.0058769196646799296;1.6875253935013512;0
50;50;16.63539496022103;0.0011645441643531045;0.1830346065587818;0
51;51;0.0005597636334926509;1.0722718015648643e-05;40.488255129605875;0
53;53;12.210159469847396;0.00015582915321444765;0.8248585839622344;0
55;55;1.2429674039340675;0.19834999098580672;0.044463666855104736;0
57;57;57.01798275433682;0.001084868114499853;1.5024885954851606;0
58;58;0.007121568403844446;1.5860931891445592e-05;27.963845863267885;0
59;59;2.994630570882509e-05;8.245062588556862e-06;306.5485891486345;0
61;61;0.03616635071381367;2.436109919032531e-05;18.500488383071303;0
62;62;8.108233487589837e-05;2.608934624214665e-05;69.33380786618615;0
63;63;0.2619429021483842;0.0006326436799617873;3.519293003635316;0
64;64;0.0710979730183909;0.00032953479353404656;7.30918396794181;0
65;65;7.725538672143859;2.4974160865106116e-05;0.6635058449219887;0
66;66;10.468042724454138;3.5991309333838094e-05;2.5488376265882597;0
67;67;9.571465399827296;0.00023356416047461246;3.6973402953420167;0
68;68;0.0003717551303872473;4.8824155398991044e-05;76.62919069178191;0
70;70;0.4254110008181018;0.03601304707640862;0.07261072722256241;0
72;72;4.482820512540939;4.281144532352923e-05;0.5200420798784201;0
74;74;9.286549756180239e-05;8.669292783681316e-05;7.7127262457699635;0
75;75;0.00011387126430105677;3.5583289266927302e-06;76.58911881149322;0
76;76;1.1926694062371697;0.00011929719662958975;9.02637832170885;0
77;77;16.460467960448096;0.0004736839163938919;1.22917623274173;0
78;78;0.006069648813678695;4.788452389841341e-06;90.7718746421655;0
79;79;0.0016923988160902153;0.0021269138040210444;0.26679838664441574;0
80;80;0.004960568845879864;8.16089127964983e-06;25.804042341786776;0
81;81;0.21290700517104927;7.743086779070358e-06;8.264128081942271;0
84;84;0.00807274801154019;2.4939643152000993e-06;565.3514740848194;0
86;86;0.0009859761327065644;0.0007248259373607804;20.27523636720359;0
87;87;20.36402133138244;0.000333185084497434;0.23343344469639513;0
88;88;0.01704060642438089;0.00022736460729227395;38.6170689842952;0
92;92;0.03958976135840118;0.00011471264864439766;30.216501424407884;0
93;93;0.284170274723067;2.1566680707961332e-05;21.95904940292404;0
94;94;0.15648184122746137;0.0006158157842023822;4.5682370321270085;0
95;95;0.0008920646629601389;6.609718465826149e-05;12.574441764157456;0
96;96;9.465786120122848;0.0037656566696931443;0.07354900933916382;0
98;98;0.09464504314428614;0.0011296175254367734;1.178532493119061;0
100;100;0.9166347116225027;2.940655751849093e-06;32.90207959479171;0
101;101;0.06943045198479482;5.846337929135808e-05;13.389641236617946;0
102;102;0.007255083823417094;0.00043639777369668104;2.036518948315182;0
103;103;8.18625915325252;0.014456352157667897;0.042450197662643074;0
104;104;0.00019274691047219494;1.1721031678014155e-05;353.46335842862993;0
105;105;32.921889241432126;0.002275592199031839;0.2720802026943096;0
106;106;0.04585602760240248;0.012630493871121636;0.07168811825564199;0
107;107;9.910335217267983;0.02913998884962492;0.04605843434115762;0
108;108;1.6551887265289897;0.00015610400520465548;10.470481035667845;0
110;110;0.00048030072115824187;5.141997126979927e-05;50.063199328019536;0
111;111;0.0003272531893921782;7.539217745744366e-07;149.36033767652376;0
112;112;0.0003477991539711391;3.6372553633963376e-06;864.8022434044275;0
113;113;0.07557844057895047;0.00016714649583819864;3.041358270245933;0
115;115;0.046598625783877155;0.0064282199512330105;0.6356633222545975;0
